Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00150640163569479,-0.00744412697137323,0.021575291745562,0,0,0,0.225155608259606,0.000158731186562235,1.89478288443537E-10,6.38637064713494E-07,0.000155364980363025,-7.89520234501468E-07,0.000292560052720127,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/base_link.STL,,Assem1^arm_assem_urdf-1/Copy of socket^Assem1_arm_assem_urdf-1;Assem1^arm_assem_urdf-1/Copy of leg_30mm^Assem1_arm_assem_urdf-4;Assem1^arm_assem_urdf-1/Copy of leg_30mm^Assem1_arm_assem_urdf-2;baseRing^arm_assem_urdf-1;Assem1^arm_assem_urdf-1/Copy of leg_30mm^Assem1_arm_assem_urdf-3;Assem1^arm_assem_urdf-1/Copy of leg_30mm^Assem1_arm_assem_urdf-1;stepper_short^arm_assem_urdf-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.000219660149647,-0.000206217410116394,0.0234208435275494,0,0,0,0.204256155677227,8.37656797330928E-05,-1.11869600215038E-06,1.97407066773803E-06,7.64080027310773E-05,1.77249752239893E-06,7.39724330055071E-05,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/Link1.STL,,base_w_hole^arm_assem_urdf-1;GearRotate_0.20mmTolerance^arm_assem_urdf-1;stepper^arm_assem_urdf-2;stepper^arm_assem_urdf-1;GearSmall^arm_assem_urdf-2;GearSmall^arm_assem_urdf-1;rod_M6_80mm^arm_assem_urdf-1,Coordinate System2,Axis1,joint1,revolute,0,0,0.069677,0,0,0,base_link,0,0,-1,300,3,-1.57,1.57,,,,,,,,
link2,-0.000635030725265592,-0.0017005378112866,0.0303940578530917,0,0,0,0.0618234826721945,7.2519438819205E-05,8.94729351156938E-08,-3.46012942132548E-07,7.65877029225625E-05,2.11637770985362E-06,9.13398981116826E-06,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link2.STL,0.0941176470588235,0.145098039215686,0.972549019607843,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link2.STL,,lowerShank.stp-1;lever^arm_assem_urdf-1;GearBig_0.20mmTolerance^arm_assem_urdf-2;GearBig_0.20mmTolerance^arm_assem_urdf-1,Coordinate System3,Axis2,joint2,revolute,0,0,0.060523,0.0010408,0.27868,0.00028631,Link1,0.018199,0.99983,0.0041666,300,3,-1.57,1.57,,,,,,,,
link3,-0.000154541510170358,0.00680484750009253,0.0412582679635699,0,0,0,0.0214055275323528,5.24770197465649E-05,-4.53189771846521E-09,2.11924573360701E-08,5.26782722904222E-05,-9.45340410405457E-07,8.8759756943985E-07,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link3.STL,,upperShank^arm_assem_urdf-1,Coordinate System4,Axis3,joint3,revolute,0,0,0.12,3.1205,-0.88394,0.012478,link2,0.022672,-0.99974,0,300,3,-1.57,1.57,,,,,,,,
link4,-0.00934298668041544,0.000743518808622917,0.0267425924332726,0,0,0,0.023112618067934,3.49933692107677E-06,2.69354223820958E-07,-1.92888175122474E-07,3.25892331793769E-06,4.91629627315494E-09,4.7358787095275E-06,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link4.STL,0.0941176470588235,0.145098039215686,0.972549019607843,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link4.STL,,manipulator^arm_assem_urdf-1;Assem18-1,Coordinate System5,Axis4,joint4,revolute,0,0,0.12,-0.96533,0,-1.5481,link3,1,0,0,300,3,-1.57,1.57,,,,,,,,
link5,-0.00239092663439414,-0.00197324019686757,0.0161784991555977,0,0,0,0.0126330821792413,2.68274528562228E-06,6.34711081616282E-08,3.16305210084618E-08,5.25117320157148E-06,3.98302641486583E-07,3.73419870748951E-06,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link5.STL,0.866666666666667,0.486274509803922,0.0588235294117647,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/link5.STL,,Assembly 2.0 upload-1/Assembly 2.0 upload(2)^Assembly 2.0 upload-1/base 2.0 upload_2^Assembly 2.0 upload(2)_Assembly 2.0 upload-1,Coordinate System6,Axis5,joint5,revolute,-0.0072522,-0.0056047,0.0561,0,0,0,link4,0,0,-1,300,3,-1.57,1.57,,,,,,,,
rightGripper,0.00144162102260376,-0.00353867607475858,2.30607200002453E-13,0,0,0,0.00233493264577781,3.0457499132358E-07,6.56068122289291E-08,2.90693388184678E-22,1.3682092240518E-07,-1.51570107499573E-21,4.37893514760094E-07,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/rightGripper.STL,0.0196078431372549,0.0196078431372549,0.0196078431372549,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/rightGripper.STL,,Assembly 2.0 upload-1/Assembly 2.0 upload(2)^Assembly 2.0 upload-1/gear_2^Assembly 2.0 upload(2)_Assembly 2.0 upload-1,Coordinate System7,Axis6,rgripper_joint,revolute,-0.016798,-0.0043953,0.0205,-1.5708,-1.5522,0,link5,0,0,-1,300,3,-1.57,1.57,,,,,,,,
r_finger,0.044314154210055,0.0103703079345868,0.000990344503798118,0,0,0,0.00995624544719296,5.42065432815972E-07,-4.36707086314946E-07,-2.97754922218503E-09,2.70090956464801E-06,-6.12682587836477E-10,2.53748010084301E-06,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/r_finger.STL,0.0196078431372549,0.0196078431372549,0.0196078431372549,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/r_finger.STL,,Assembly 2.0 upload-1/Assembly 2.0 upload(2)^Assembly 2.0 upload-1/gripper_2^Assembly 2.0 upload(2)_Assembly 2.0 upload-2,Coordinate System13,Axis11,r_fingerj,revolute,0.010575,-0.03205,-0.0015,0,0,0,rightGripper,0,0,0,300,3,-1.57,1.57,,,,,,,,
leftGripper,0.00125836519034134,0.00326509739095496,-6.2762673342015E-05,0,0,0,0.00220737553386929,3.0234988544685E-07,-5.673947300425E-08,6.61985177775197E-11,1.28450669790127E-07,3.94721215242359E-10,4.27506882316946E-07,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/leftGripper.STL,0.0196078431372549,0.0196078431372549,0.0196078431372549,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/leftGripper.STL,,Assembly 2.0 upload-1/Assembly 2.0 upload(2)^Assembly 2.0 upload-1/gear 2.1_2^Assembly 2.0 upload(2)_Assembly 2.0 upload-1,Coordinate System8,Axis7,Lgripperjoint,revolute,0.013202,-0.0043953,0.0205,-1.5708,-1.5522,0,link5,0,0,1,300,3,-1.57,1.57,,,,,,,,
l_fing,0.0438967443303473,-0.0120151315934035,0.00150965549635686,0,0,0,0.00995624544719296,5.77604056032025E-07,5.15919018530005E-07,2.95263858591668E-09,2.66537094143195E-06,-7.23259776929588E-10,2.53748010084301E-06,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/l_fing.STL,0.0196078431372549,0.0196078431372549,0.0196078431372549,1,0,0,0,0,0,0,package://arm_assem_urdf_v3/meshes/l_fing.STL,,Assembly 2.0 upload-1/Assembly 2.0 upload(2)^Assembly 2.0 upload-1/gripper_2^Assembly 2.0 upload(2)_Assembly 2.0 upload-1,Coordinate System14,Axis10,l_fing_j,revolute,0.0092191,0.032466,-0.0015,0,0,0,leftGripper,0,0,-1,300,3,-1.57,1.57,,,,,,,,
